#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.707620	0.784554	0.818666
0.706717	0.764657	0.834425
0.696717	0.765584	0.820354
0.698816	0.763941	0.794842
0.672674	0.785215	0.830212
0.681311	0.752776	0.825796
0.702486	0.791491	0.850907
0.682443	0.793351	0.820030
0.700201	0.775336	0.823409
0.707126	0.762023	0.831810
0.694898	0.781594	0.837457
0.673051	0.777260	0.795496
0.709729	0.786917	0.828440
0.674163	0.774570	0.821459
0.668257	0.758830	0.821664
0.681859	0.783391	0.838953
0.683042	0.787994	0.823856
0.708916	0.779077	0.810256
0.705281	0.754480	0.843191
0.683176	0.782452	0.818781
0.675629	0.791106	0.814923
0.688838	0.778361	0.849245
0.679044	0.769212	0.807528
0.730414	0.780401	0.805467
0.698131	0.774704	0.830182
0.686995	0.749082	0.851290
0.649177	0.775262	0.837836
0.673722	0.772787	0.794798
0.682891	0.782697	0.839737
0.689631	0.795332	0.822538
0.714493	0.788338	0.814381
0.653726	0.788755	0.856536
0.682844	0.780724	0.843949
0.702259	0.792694	0.833155
0.704551	0.776751	0.830805
0.700666	0.785480	0.845192
0.694828	0.778325	0.831867
0.679386	0.763729	0.819592
0.708113	0.765366	0.827643
0.695374	0.798555	0.828332
0.706908	0.749328	0.842033
0.693525	0.777706	0.805717
0.668175	0.742621	0.806266
0.697718	0.773419	0.829936
0.669539	0.799339	0.808364
0.653879	0.764170	0.789883
0.696366	0.775789	0.828617
0.681302	0.789358	0.792878
0.690119	0.784119	0.840350
0.699934	0.758190	0.826465
