#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.574746	0.690532	0.727233
0.577468	0.690651	0.710550
0.584683	0.668226	0.732030
0.597409	0.696793	0.731615
0.583369	0.696968	0.702737
0.622360	0.692569	0.726085
0.594400	0.705719	0.726721
0.584203	0.701927	0.722152
0.637864	0.659829	0.701948
0.612422	0.628214	0.733870
0.562135	0.718758	0.671817
0.593478	0.684689	0.745464
0.644752	0.672784	0.715474
0.619226	0.682861	0.742064
0.569674	0.647511	0.712398
0.603794	0.704012	0.737837
0.561857	0.649792	0.729669
0.589165	0.687679	0.726586
0.596118	0.700274	0.728211
0.624247	0.669078	0.766363
0.596982	0.692146	0.740111
0.557387	0.680787	0.769664
0.605856	0.689759	0.740611
0.591602	0.703359	0.710597
0.565066	0.682481	0.768661
0.584285	0.682932	0.745052
0.597758	0.683664	0.728034
0.549685	0.679206	0.741399
0.559785	0.688694	0.786097
0.562356	0.675766	0.797586
0.545008	0.677444	0.743526
0.600770	0.666969	0.711877
0.565945	0.673242	0.754111
0.561896	0.696849	0.770073
0.620509	0.690791	0.713879
0.598679	0.682166	0.738704
0.591668	0.678006	0.755538
0.591259	0.653761	0.799101
0.580962	0.702686	0.718460
0.577055	0.686354	0.750834
0.597348	0.660808	0.734947
0.630177	0.666709	0.753001
0.614605	0.677635	0.771089
0.555064	0.710204	0.742701
0.573803	0.689387	0.690866
0.627140	0.667437	0.708048
0.637208	0.680096	0.737532
0.536175	0.683981	0.739530
0.608580	0.703277	0.746558
0.577588	0.716805	0.801101
