#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.576062	0.671251	0.704775
0.587244	0.700309	0.694775
0.552697	0.648890	0.717562
0.555986	0.645347	0.710028
0.564026	0.650341	0.687327
0.571269	0.619302	0.683287
0.556976	0.679529	0.700784
0.538428	0.684076	0.687127
0.583203	0.666429	0.732558
0.559235	0.656805	0.723978
0.515183	0.689894	0.754678
0.515221	0.649852	0.678974
0.549352	0.674534	0.729141
0.582222	0.645873	0.703226
0.541650	0.664964	0.672218
0.546208	0.693646	0.656545
0.564449	0.650445	0.713325
0.550833	0.623910	0.677044
0.511591	0.663664	0.663763
0.547496	0.627617	0.695648
0.543988	0.697877	0.720238
0.577995	0.693232	0.717902
0.534452	0.637892	0.732599
0.584734	0.674049	0.676043
0.501829	0.655877	0.678851
0.538840	0.689212	0.719030
0.577822	0.654538	0.706356
0.570182	0.700818	0.711278
0.563837	0.645191	0.690715
0.537475	0.650520	0.745202
0.521452	0.647038	0.710536
0.542887	0.672911	0.728679
0.540920	0.710824	0.689857
0.531758	0.637749	0.660685
0.556598	0.677109	0.717770
0.552001	0.685375	0.697884
0.531203	0.675435	0.677446
0.595997	0.690838	0.670416
0.548409	0.620195	0.727210
0.572326	0.654053	0.675429
0.552627	0.674395	0.684695
0.576484	0.650107	0.757838
0.558256	0.685717	0.712894
0.617331	0.679421	0.695462
0.528908	0.637212	0.700597
0.537930	0.658210	0.734393
0.576710	0.635063	0.664901
0.554567	0.691615	0.719228
0.548298	0.664650	0.750694
0.572513	0.722593	0.658183
