#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.606710	0.683620	0.708176
0.613301	0.690697	0.747290
0.627317	0.685743	0.779597
0.612689	0.670188	0.765382
0.591132	0.673028	0.737921
0.606216	0.693598	0.751112
0.584975	0.680864	0.744188
0.575287	0.692627	0.724158
0.595667	0.668895	0.738930
0.587143	0.705095	0.683761
0.598542	0.691681	0.728028
0.611637	0.681022	0.747447
0.547704	0.695343	0.751989
0.630254	0.704363	0.712781
0.588317	0.684218	0.733040
0.645062	0.689944	0.772729
0.622645	0.660648	0.745423
0.605171	0.694850	0.757138
0.591577	0.693021	0.732169
0.597731	0.664837	0.738874
0.591865	0.684981	0.729188
0.611209	0.708327	0.743843
0.586529	0.730093	0.718160
0.547798	0.696269	0.707328
0.594102	0.684595	0.716899
0.589235	0.697401	0.735783
0.589513	0.682153	0.725188
0.610328	0.652662	0.725211
0.557629	0.678546	0.716246
0.536792	0.672348	0.730654
0.601720	0.709373	0.741155
0.611491	0.653465	0.740121
0.568369	0.696406	0.744056
0.602843	0.674261	0.759997
0.608190	0.699791	0.730091
0.562246	0.680127	0.728426
0.583411	0.685625	0.755971
0.600014	0.658689	0.714015
0.615320	0.677659	0.698651
0.569963	0.702358	0.712782
0.608916	0.675783	0.668264
0.615084	0.700205	0.730419
0.591528	0.684286	0.719573
0.576762	0.694308	0.739996
0.561425	0.721123	0.715788
0.613830	0.709999	0.730435
0.608876	0.666706	0.752616
0.606549	0.667410	0.714247
0.570759	0.720068	0.713079
0.581308	0.706542	0.735630
