#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.641048	0.724025	0.737108
0.646615	0.750552	0.791066
0.652045	0.702509	0.761052
0.659708	0.736138	0.805924
0.651407	0.742754	0.816840
0.703331	0.750605	0.804259
0.656477	0.740360	0.772071
0.636160	0.738506	0.766100
0.643716	0.734566	0.772279
0.665226	0.772199	0.798312
0.691584	0.705590	0.776204
0.628568	0.750755	0.762227
0.611470	0.742648	0.781254
0.670819	0.701351	0.751198
0.648081	0.752502	0.782293
0.643162	0.759960	0.748963
0.615545	0.745109	0.769871
0.640214	0.743748	0.758329
0.624029	0.737630	0.793663
0.676206	0.726922	0.807018
0.665063	0.726430	0.784117
0.662383	0.755359	0.777029
0.650328	0.698742	0.782640
0.683165	0.740270	0.779430
0.622259	0.742482	0.772535
0.638180	0.731504	0.794327
0.696212	0.764122	0.806241
0.651589	0.742813	0.767470
0.676610	0.754547	0.775846
0.638516	0.748933	0.775298
0.646450	0.746585	0.788856
0.646205	0.723088	0.768179
0.639508	0.748099	0.797256
0.666076	0.743960	0.790647
0.693204	0.728420	0.794801
0.632514	0.792101	0.808122
0.619581	0.764913	0.774113
0.659708	0.727718	0.742590
0.627995	0.763027	0.759546
0.686877	0.709671	0.788712
0.689351	0.727223	0.790964
0.666570	0.715724	0.802205
0.647126	0.722219	0.770752
0.656066	0.732278	0.791265
0.640656	0.762511	0.806429
0.675901	0.751248	0.780684
0.644533	0.745898	0.773564
0.709584	0.761667	0.761717
0.615246	0.757523	0.808167
0.657128	0.743100	0.778905
