#DiseaseAUCs	BiologicalProcessAUCs
0.634933	0.672950
0.674802	0.675503
0.717818	0.642072
0.631922	0.663868
0.675988	0.670889
0.675121	0.708689
0.680002	0.626706
0.689125	0.678252
0.688669	0.672656
0.726667	0.634610
0.665131	0.653412
0.685841	0.650515
0.702764	0.646932
0.639631	0.682376
0.710884	0.700049
0.656555	0.630928
0.689216	0.638341
0.706277	0.645901
0.676900	0.674620
0.661025	0.648405
0.684062	0.623171
0.684062	0.608395
0.697610	0.676190
0.672521	0.643888
0.679409	0.646686
0.639814	0.683407
0.697975	0.665979
0.646748	0.688660
0.656099	0.641875
0.690858	0.642023
0.634112	0.634413
0.628182	0.687482
0.673980	0.683358
0.699206	0.649828
0.662759	0.644968
0.629140	0.637850
0.718821	0.713157
0.619515	0.663967
0.682009	0.636082
0.668005	0.675503
0.641775	0.671870
0.669784	0.631321
0.615865	0.667747
0.656053	0.641924
0.688851	0.649485
0.686890	0.679627
0.699434	0.690133
0.640909	0.668532
0.679546	0.666568
0.664310	0.710997
