#DiseaseAUCs	BiologicalProcessAUCs
0.764392	0.797104
0.754676	0.792391
0.766810	0.839617
0.733373	0.813991
0.723292	0.842906
0.715947	0.810653
0.750661	0.787678
0.736201	0.821649
0.735471	0.781640
0.756090	0.825724
0.760332	0.831713
0.716905	0.834168
0.730134	0.780363
0.787383	0.797349
0.704498	0.779921
0.752577	0.795533
0.733738	0.825528
0.734605	0.797300
0.755314	0.792293
0.749110	0.835935
0.795137	0.848257
0.723976	0.795140
0.742907	0.813844
0.705912	0.778351
0.734650	0.770349
0.737524	0.763378
0.688395	0.788513
0.779628	0.753068
0.764346	0.846686
0.734376	0.823957
0.748700	0.790427
0.744230	0.765145
0.762066	0.786598
0.730590	0.731811
0.737250	0.789396
0.772877	0.838144
0.727443	0.775307
0.786151	0.766127
0.712800	0.815366
0.769729	0.819784
0.758006	0.799215
0.714807	0.800785
0.722516	0.796858
0.737296	0.801227
0.731092	0.821011
0.733282	0.814138
0.785877	0.784045
0.684107	0.776780
0.709014	0.748748
0.734240	0.795238
