#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.697624	0.806455	0.862905
0.691604	0.793607	0.793421
0.665844	0.825470	0.818955
0.718118	0.792580	0.855912
0.673828	0.777739	0.827433
0.729272	0.781040	0.819687
0.686328	0.813735	0.795227
0.672394	0.800430	0.814702
0.706998	0.809492	0.853803
0.700288	0.778682	0.809619
0.701517	0.793917	0.817975
0.678047	0.794252	0.845064
0.712094	0.795763	0.797748
0.664150	0.803264	0.812751
0.693090	0.793307	0.826884
0.698363	0.813810	0.829957
0.715467	0.802362	0.851094
0.707158	0.797815	0.809803
0.704776	0.807941	0.831020
0.734477	0.817817	0.851091
0.675418	0.761510	0.810783
0.719613	0.807583	0.800148
0.668929	0.803924	0.858302
0.679817	0.797903	0.819433
0.702421	0.786813	0.831185
0.702704	0.816959	0.821656
0.677763	0.808962	0.782345
0.689266	0.813774	0.814865
0.676977	0.785078	0.862627
0.735763	0.783046	0.850095
0.707609	0.761327	0.869949
0.724311	0.779173	0.842922
0.667120	0.772369	0.842362
0.697891	0.801405	0.828775
0.715899	0.816140	0.824932
0.695091	0.800525	0.824422
0.699447	0.768631	0.791248
0.693209	0.799955	0.815488
0.695515	0.795698	0.816912
0.730052	0.771854	0.833016
0.682363	0.756394	0.866277
0.709736	0.794566	0.818357
0.714666	0.819803	0.857809
0.684470	0.804275	0.832074
0.709000	0.786135	0.831107
0.685602	0.781632	0.849004
0.682402	0.829702	0.810709
0.703561	0.804092	0.831920
0.721202	0.818619	0.842647
0.697584	0.785688	0.810450
