#DiseaseAUCs	BiologicalProcessAUCs
0.688122	0.802504
0.738756	0.823024
0.754584	0.764408
0.702034	0.812224
0.736794	0.798036
0.786561	0.762052
0.748381	0.769072
0.727443	0.766716
0.729313	0.813697
0.769638	0.757732
0.816121	0.792784
0.779080	0.771969
0.705821	0.735199
0.728264	0.792734
0.663534	0.787187
0.716677	0.765194
0.759009	0.839863
0.749567	0.834413
0.788842	0.799853
0.755086	0.792931
0.757276	0.796220
0.776298	0.783014
0.724934	0.828130
0.716358	0.774521
0.734969	0.808346
0.720327	0.823957
0.719369	0.779971
0.748882	0.780118
0.738117	0.772607
0.707737	0.820815
0.725572	0.790182
0.754311	0.813942
0.707189	0.769514
0.748928	0.766274
0.751847	0.815955
0.772147	0.821748
0.711431	0.758763
0.718684	0.785812
0.731001	0.822730
0.780540	0.816249
0.712937	0.796416
0.779765	0.790427
0.724843	0.816249
0.731776	0.768630
0.718958	0.768581
0.766627	0.800638
0.734559	0.780461
0.705775	0.819146
0.737433	0.836917
0.718000	0.814384
