#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.639990	0.750756	0.809333
0.648049	0.749768	0.805849
0.664229	0.741966	0.756809
0.625473	0.766418	0.800849
0.657982	0.712691	0.767038
0.682861	0.773631	0.827075
0.690075	0.753354	0.773398
0.689503	0.742250	0.761659
0.642923	0.743332	0.781162
0.676050	0.755943	0.786934
0.668942	0.763072	0.779726
0.656806	0.780648	0.790805
0.685529	0.727195	0.805098
0.663339	0.748872	0.789909
0.651141	0.755673	0.778930
0.678231	0.768624	0.816595
0.653242	0.749166	0.767311
0.651469	0.746145	0.784550
0.657320	0.738323	0.803466
0.679288	0.773734	0.798721
0.620813	0.781369	0.741691
0.656210	0.757611	0.771288
0.677708	0.757199	0.791065
0.685544	0.760266	0.810015
0.650604	0.720212	0.797129
0.680344	0.775564	0.796791
0.684284	0.758971	0.851336
0.688238	0.741519	0.757788
0.649352	0.775406	0.802049
0.668104	0.751827	0.793779
0.683884	0.749384	0.796964
0.676143	0.745983	0.788350
0.665558	0.769034	0.808537
0.671445	0.747832	0.751734
0.652888	0.750385	0.782337
0.623874	0.777340	0.807392
0.681809	0.735369	0.799213
0.653353	0.740363	0.787954
0.665365	0.744563	0.802479
0.668433	0.775011	0.789386
0.647972	0.759659	0.774686
0.670851	0.769685	0.762119
0.636392	0.776853	0.778613
0.653989	0.741580	0.761854
0.650504	0.766516	0.786728
0.655846	0.758794	0.769345
0.678419	0.762674	0.809215
0.644693	0.737787	0.785960
0.653416	0.763743	0.731558
0.677134	0.744710	0.814978
