#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.562241	0.682470	0.766215
0.562103	0.678741	0.749163
0.560712	0.679858	0.725424
0.592710	0.652635	0.702965
0.545179	0.670149	0.776782
0.567777	0.662056	0.742894
0.543399	0.671904	0.771500
0.567746	0.670706	0.744300
0.557880	0.688487	0.772946
0.567674	0.702544	0.711892
0.516257	0.668915	0.742827
0.544742	0.679124	0.747938
0.554603	0.676213	0.748633
0.587486	0.665570	0.731756
0.587592	0.688337	0.786110
0.551169	0.656287	0.680479
0.561976	0.644158	0.739442
0.611180	0.664319	0.748434
0.565992	0.661121	0.739940
0.579864	0.672192	0.752627
0.585930	0.653053	0.754569
0.548489	0.681379	0.741281
0.531535	0.682949	0.749462
0.543860	0.674127	0.769805
0.551169	0.647823	0.763042
0.560424	0.645147	0.769517
0.557990	0.695576	0.781097
0.569028	0.694526	0.732900
0.571451	0.642190	0.731197
0.535847	0.686719	0.729916
0.573873	0.645145	0.723386
0.572905	0.681895	0.739102
0.551737	0.701754	0.702702
0.524297	0.673369	0.746111
0.610114	0.652998	0.750296
0.589286	0.680519	0.772810
0.583997	0.671152	0.748663
0.571139	0.666515	0.761875
0.584160	0.663330	0.752336
0.594748	0.718631	0.774020
0.585971	0.685271	0.723853
0.556952	0.666420	0.711371
0.599449	0.671013	0.771601
0.593603	0.721255	0.736847
0.582416	0.659476	0.721195
0.597426	0.642714	0.764145
0.543231	0.691243	0.728351
0.572257	0.697813	0.730769
0.606032	0.730661	0.768885
0.573929	0.669109	0.797977
