#DiseaseAUCs	#AutismAUCs	BiologicalProcessAUCs
0.551410	0.696842	0.667797
0.541605	0.656465	0.707817
0.560146	0.643447	0.717838
0.550028	0.677079	0.703202
0.522843	0.665471	0.689248
0.528941	0.665254	0.717174
0.554210	0.703657	0.702121
0.573814	0.657432	0.708098
0.554491	0.664271	0.762988
0.547567	0.710723	0.727698
0.553622	0.686708	0.738862
0.529677	0.690607	0.704528
0.542595	0.674208	0.690109
0.552996	0.672796	0.731150
0.569923	0.663912	0.691658
0.524784	0.663178	0.745843
0.550818	0.689464	0.750514
0.545197	0.682691	0.723550
0.534580	0.679395	0.744736
0.534732	0.677947	0.774236
0.518187	0.642581	0.663848
0.533165	0.651170	0.710121
0.545782	0.663859	0.728367
0.542276	0.664102	0.761631
0.576203	0.673815	0.646721
0.544691	0.667715	0.725015
0.528538	0.641391	0.733072
0.528650	0.679830	0.700910
0.546528	0.658324	0.716612
0.560819	0.681800	0.689381
0.584775	0.703250	0.707186
0.530273	0.656375	0.741224
0.537121	0.660888	0.669402
0.568451	0.712368	0.665551
0.575890	0.669492	0.739125
0.536761	0.684528	0.721159
0.584199	0.694356	0.737461
0.561615	0.648745	0.712911
0.554239	0.682889	0.697101
0.576580	0.678935	0.726132
0.556727	0.705063	0.706354
0.555575	0.692974	0.656567
0.549565	0.650374	0.738873
0.516470	0.655532	0.647883
0.553516	0.674400	0.684729
0.529628	0.697308	0.694754
0.568114	0.689421	0.751779
0.526535	0.649620	0.723794
0.534912	0.683120	0.695952
0.565037	0.667916	0.752389
