#DiseaseAUCs	BiologicalProcessAUCs
0.650990	0.706382
0.657787	0.772901
0.689444	0.702504
0.751391	0.726559
0.712070	0.689958
0.701408	0.685073
0.680504	0.722337
0.684153	0.723760
0.668577	0.714482
0.659383	0.775209
0.682419	0.767698
0.706733	0.727737
0.701852	0.713648
0.680640	0.772459
0.668689	0.722337
0.738071	0.822779
0.750616	0.719931
0.664082	0.675209
0.657252	0.726264
0.715172	0.668483
0.666545	0.689838
0.661299	0.738930
0.665587	0.735395
0.652222	0.779774
0.697098	0.760088
0.740443	0.740746
0.717088	0.726264
0.683514	0.671723
0.747651	0.719391
0.673661	0.735641
0.660204	0.777761
0.689807	0.678891
0.693869	0.720520
0.648481	0.742121
0.659976	0.715758
0.709744	0.704026
0.745233	0.719195
0.710793	0.684732
0.748517	0.716457
0.677977	0.733284
0.712825	0.727099
0.699526	0.675601
0.689079	0.688022
0.666454	0.704271
0.730271	0.737478
0.645379	0.704615
0.673889	0.695385
0.695968	0.757045
0.707052	0.663672
0.654137	0.757732
