#DiseaseAUCs	BiologicalProcessAUCs
0.760300	0.781380
0.698874	0.767369
0.739700	0.790201
0.767737	0.793987
0.751992	0.787912
0.769417	0.821795
0.739202	0.777656
0.789675	0.756990
0.777913	0.812973
0.748289	0.770574
0.730302	0.743529
0.762043	0.801129
0.766088	0.801190
0.766990	0.792430
0.740634	0.750855
0.719940	0.801557
0.765528	0.807204
0.714557	0.792094
0.760456	0.805372
0.779437	0.811508
0.706902	0.794536
0.734970	0.792002
0.722274	0.802534
0.752583	0.773352
0.736308	0.766026
0.758122	0.791178
0.750280	0.823199
0.760705	0.816148
0.781896	0.769139
0.726568	0.757631
0.812173	0.786630
0.735873	0.773138
0.784945	0.818101
0.731641	0.773321
0.691530	0.823199
0.768920	0.745238
0.732667	0.787088
0.777633	0.787393
0.740789	0.735470
0.754388	0.777320
0.739078	0.793040
0.744959	0.778632
0.729089	0.780403
0.749222	0.776832
0.733228	0.790659
0.720469	0.828114
0.725479	0.788858
0.777477	0.784707
0.740353	0.754121
0.715584	0.795116
