Gene,Entrez Id,CFGa,CNVb,Differential Expressionc,GWASd,Linkage & Associatione,Sherlockf,Pascalg,Scoreh
DGCR6,8214,no,yes,no,no,yes,no,no,2
ANP32E,81611,no,no,yes,yes,no,no,no,2
ST8SIA2,8128,no,no,yes,no,yes,no,no,2
CDK2AP1,8099,no,no,no,yes,no,no,yes,2
FXR1,8087,no,no,no,yes,no,no,yes,2
PBX4,80714,no,no,no,yes,no,no,yes,2
ZKSCAN3,80317,no,no,no,yes,no,no,yes,2
EFHD1,80303,no,no,no,yes,no,no,yes,2
COQ10B,80219,no,no,no,yes,no,no,yes,2
THOC7,80145,no,no,no,yes,no,no,yes,2
ACTR5,79913,no,no,no,yes,no,no,yes,2
ZNF408,79797,no,no,no,yes,no,no,yes,2
MSANTD2,79684,no,no,no,yes,no,no,yes,2
OGFOD2,79676,no,no,no,yes,no,no,yes,2
C2orf47,79568,no,no,no,yes,no,no,yes,2
ZFYVE21,79038,no,no,no,yes,no,no,yes,2
CENPM,79019,no,no,no,yes,no,no,yes,2
GID4,79018,no,no,no,yes,no,no,yes,2
SCG2,7857,no,no,yes,no,yes,no,no,2
CACNB2,783,no,no,no,yes,no,no,yes,2
DDR1,780,no,no,yes,no,yes,no,no,2
CACNA1C,775,no,no,no,yes,no,no,yes,2
ZKSCAN8,7745,no,no,yes,no,no,no,yes,2
XRCC3,7517,no,no,no,yes,no,no,yes,2
VRK2,7444,no,no,no,yes,no,no,yes,2
UFD1L,7353,no,yes,no,no,yes,no,no,2
CLDN5,7122,no,yes,no,no,yes,no,no,2
TCF20,6942,no,no,no,yes,no,no,yes,2
TBX6,6911,no,yes,no,yes,no,no,no,2
TBX1,6899,no,yes,no,no,yes,no,no,2
SYN2,6854,yes,no,no,no,yes,no,no,2
NEK4,6787,no,no,no,yes,no,no,yes,2
SRPK2,6733,no,no,no,yes,no,no,yes,2
SREBF1,6720,no,no,no,yes,no,no,yes,2
SNRPN,6638,no,yes,yes,no,no,no,no,2
SLC25A1,6576,no,yes,yes,no,no,no,no,2
SLC6A3,6531,no,no,yes,no,yes,no,no,2
SLC1A3,6507,no,yes,yes,no,no,no,no,2
NT5DC2,64943,no,no,no,yes,no,no,yes,2
BCL11B,64919,no,no,no,yes,no,no,yes,2
EFTUD1P1,648809,no,no,no,yes,no,no,yes,2
CSMD1,64478,no,yes,no,yes,no,no,no,2
GOLGA6L4,643707,no,no,no,yes,no,no,yes,2
BTBD18,643376,no,no,no,yes,no,no,yes,2
SLC39A8,64116,no,no,yes,yes,no,no,no,2
RRAS,6237,no,no,no,yes,no,no,yes,2
BCL9,607,no,yes,no,yes,no,no,no,2
RGS4,5999,yes,no,no,no,yes,no,no,2
RANBP1,5902,no,yes,no,no,yes,no,no,2
SCAF1,58506,no,no,no,yes,no,no,yes,2
PTPRN2,5799,no,yes,yes,no,no,no,no,2
SUGP1,57794,no,no,no,yes,no,no,yes,2
PITPNM2,57605,no,no,no,yes,no,no,yes,2
PRR12,57479,no,no,no,yes,no,no,yes,2
AS3MT,57412,no,no,no,yes,no,no,yes,2
PTGIS,5740,no,no,no,yes,no,no,yes,2
RELN,5649,yes,no,no,no,yes,no,no,2
PRODH,5625,no,yes,no,no,yes,no,no,2
PCDHA8,56140,no,no,yes,yes,no,no,no,2
SEPT3,55964,no,no,no,yes,no,no,yes,2
PRKG1,5592,no,yes,yes,no,no,no,no,2
PRKCA,5578,yes,no,yes,no,no,no,no,2
TSR1,55720,no,no,no,yes,no,no,yes,2
PRKAB2,5565,no,yes,yes,no,no,no,no,2
AMBRA1,55626,no,no,no,yes,no,no,yes,2
GALNT10,55568,no,no,no,yes,no,no,yes,2
SLC38A7,55238,no,no,no,yes,no,no,yes,2
SBNO1,55206,no,no,no,yes,no,no,yes,2
PBRM1,55193,no,no,no,yes,no,no,yes,2
MSL2,55167,no,no,no,yes,no,no,yes,2
FANCL,55120,no,no,no,yes,no,no,yes,2
ZSCAN2,54993,no,no,no,yes,no,no,yes,2
C4orf27,54969,no,no,yes,yes,no,no,no,2
WHSC1L1,54904,no,no,yes,yes,no,no,no,2
WBP1L,54838,no,no,no,yes,no,no,yes,2
GATAD2A,54815,no,no,no,yes,no,no,yes,2
AHI1,54806,no,no,yes,no,yes,no,no,2
CNNM2,54805,no,no,no,yes,no,no,yes,2
BTN2A3P,54718,no,no,yes,no,no,no,yes,2
