['285093', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['7455', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['3822', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['3823', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['389524', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['84163', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['56099', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['8641', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['56102', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['56104', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['728404', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['729092', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['80835', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['83756', 0.5, 0.5, 0.5, 0.5, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['79947', 0.4996761469461412, 1.0, 0.2423347767795722, 0.2185897314575165, 'Positive', 'Unlabeled', 'Unlabeled']
['113026', 0.49965138427642497, 0.8332171280921417, 0.23629070473824956, 0.2275609159522547, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['8986', 0.49965129269238173, 1.0, 0.23629060326919904, 0.22756071708366454, 'Positive', 'Unlabeled', 'Unlabeled']
['80775', 0.49954302093156655, 1.0, 0.2435396163878555, 0.21627215565588864, 'Positive', 'Unlabeled', 'Unlabeled']
['818', 0.4990110376034074, 1.0, 0.24155799133721736, 0.21720532380723545, 'Positive', 'Unlabeled', 'Unlabeled']
['10460', 0.4990048615278791, 1.0, 0.2440183475457899, 0.21349111453818512, 'Positive', 'Unlabeled', 'Unlabeled']
['63941', 0.4982845713342332, 1.0, 0.22919372849967187, 0.23296693069838612, 'Positive', 'Unlabeled', 'Unlabeled']
['10023', 0.4980933790317806, 1.0, 0.23839867801091372, 0.21842660260545488, 'Positive', 'Unlabeled', 'Unlabeled']
['54776', 0.4969299970661536, 1.0, 0.22977953942629278, 0.22689567961414966, 'Positive', 'Unlabeled', 'Unlabeled']
['201255', 0.4968712151587249, 0.8322904050529084, 0.23807117064564656, 0.21423290213997573, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['89958', 0.49687108421440596, 1.0, 0.23807102791640355, 0.21423261428061738, 'Positive', 'Unlabeled', 'Unlabeled']
['56144', 0.4968179234390908, 1.0, 0.23774096344009665, 0.21452392802303633, 'Positive', 'Unlabeled', 'Unlabeled']
['22881', 0.49629947829511234, 1.0, 0.2412778225484357, 0.20723126630861052, 'Positive', 'Unlabeled', 'Unlabeled']
['8658', 0.4962380179326112, 1.0, 0.23721675901199926, 0.2130872635570109, 'Positive', 'Unlabeled', 'Unlabeled']
['23089', 0.49578314303869647, 1.0, 0.23526485404982808, 0.21427143390692746, 'Positive', 'Unlabeled', 'Unlabeled']
['347862', 0.4955592018837058, 1.0, 0.231742637131761, 0.21869631818989713, 'Positive', 'Unlabeled', 'Unlabeled']
['1869', 0.4954595582763571, 1.0, 0.23443278046330004, 0.21427913603108537, 'Positive', 'Unlabeled', 'Unlabeled']
['216', 0.4949117632344557, 1.0, 0.23789901954631965, 0.20697989641260062, 'Positive', 'Unlabeled', 'Unlabeled']
['330', 0.4944258319836688, 1.0, 0.2349382515052024, 0.20955831201292693, 'Positive', 'Unlabeled', 'Unlabeled']
['56147', 0.49436849936005434, 1.0, 0.23084162514861606, 0.2154834764906175, 'Positive', 'Unlabeled', 'Unlabeled']
['8991', 0.4939273066827, 1.0, 0.22539633235038223, 0.22196017709144344, 'Positive', 'Unlabeled', 'Unlabeled']
['8835', 0.4935661032854277, 1.0, 0.23445361295063583, 0.2069896431681857, 'Positive', 'Unlabeled', 'Unlabeled']
['56603', 0.49293741070514474, 1.0, 0.21271768530448934, 0.23718354641298764, 'Positive', 'Unlabeled', 'Unlabeled']
['9750', 0.49251697143188533, 1.0, 0.22819029157816542, 0.21236295312164552, 'Positive', 'Unlabeled', 'Unlabeled']
['4213', 0.4903027709813503, 1.0, 0.22738594106196341, 0.2050817105022306, 'Positive', 'Unlabeled', 'Unlabeled']
['8646', 0.48976865855315516, 1.0, 0.21187973245518898, 0.2262935924376445, 'Positive', 'Unlabeled', 'Unlabeled']
['50509', 0.4888583635812684, 1.0, 0.22228295498475034, 0.20719929458440314, 'Positive', 'Unlabeled', 'Unlabeled']
['4974', 0.4878988242936424, 1.0, 0.2046650702391178, 0.22994788776695252, 'Positive', 'Unlabeled', 'Unlabeled']
['56145', 0.48761173363184146, 1.0, 0.1993969195815896, 0.23674959954967448, 'Positive', 'Unlabeled', 'Unlabeled']
['57799', 0.48758343511019553, 1.0, 0.21050316315337636, 0.219981756525685, 'Positive', 'Unlabeled', 'Unlabeled']
['3699', 0.48712907458349286, 1.0, 0.19201069892379033, 0.2459787375177036, 'Positive', 'Unlabeled', 'Unlabeled']
['22847', 0.4870468523199323, 1.0, 0.2060968440220717, 0.22453433452663288, 'Positive', 'Unlabeled', 'Unlabeled']
['4015', 0.48671256086837644, 1.0, 0.21580625047819516, 0.20868877427815022, 'Positive', 'Unlabeled', 'Unlabeled']
['56143', 0.486555891341435, 1.0, 0.20774934043465257, 0.2201735728235219, 'Positive', 'Unlabeled', 'Unlabeled']
['3356', 0.48629311997608593, 1.0, 0.2039366805808234, 0.2248852723704274, 'Positive', 'Unlabeled', 'Unlabeled']
['9957', 0.48593915343852223, 1.0, 0.20702616568260454, 0.2188941729904285, 'Positive', 'Unlabeled', 'Unlabeled']
['1809', 0.48592856281828567, 1.0, 0.21750639406707437, 0.20313323303615038, 'Positive', 'Unlabeled', 'Unlabeled']
['56895', 0.48577266045295353, 0.8285908868176511, 0.20576265320848672, 0.22015121859025852, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['3084', 0.48577260215557083, 1.0, 0.20576258715773865, 0.22015109419308032, 'Positive', 'Unlabeled', 'Unlabeled']
['56146', 0.48528521364487115, 1.0, 0.2048735058588922, 0.21961639351700138, 'Positive', 'Unlabeled', 'Unlabeled']
['84620', 0.4850850514257774, 0.8283616838085924, 0.20523573403194062, 0.2183057627509025, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['56899', 0.4850849944326444, 1.0, 0.2052356686956384, 0.21830564228167906, 'Positive', 'Unlabeled', 'Unlabeled']
['3698', 0.48478658275200526, 1.0, 0.19816150693737591, 0.22777297347662284, 'Positive', 'Unlabeled', 'Unlabeled']
['26', 0.48436534898902, 1.0, 0.20270202997614242, 0.21934745949369638, 'Positive', 'Unlabeled', 'Unlabeled']
['1768', 0.4841150126814624, 0.8280383375604874, 0.20310736503331464, 0.21777983439563378, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['343', 0.4841150126814624, 0.8280383375604874, 0.20310736503331464, 0.21777983439563378, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['392479', 0.4841150126814624, 0.8280383375604874, 0.20310736503331464, 0.21777983439563378, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['9501', 0.4841150126814624, 0.8280383375604874, 0.20310736503331464, 0.21777983439563378, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['1813', 0.484114966766875, 1.0, 0.2031073121760696, 0.21777973767558326, 'Positive', 'Unlabeled', 'Unlabeled']
['6870', 0.4837467770639196, 1.0, 0.19308681538829964, 0.23139908899590889, 'Positive', 'Unlabeled', 'Unlabeled']
['285025', 0.4836220249209568, 0.8278740083069857, 0.20314171969829112, 0.2158385159828978, 'Unlabeled', 'Unlabeled', 'Unlabeled']
['27185', 0.4836219672157356, 1.0, 0.20314165441469303, 0.2158383927049469, 'Positive', 'Unlabeled', 'Unlabeled']
['7124', 0.48352610879074054, 1.0, 0.20251878715062885, 0.21640523630522882, 'Positive', 'Unlabeled', 'Unlabeled']
['363', 0.48318625792355413, 1.0, 0.202172056523265, 0.2156225705887265, 'Positive', 'Unlabeled', 'Unlabeled']
